sample,fastq_1,fastq_2,strandedness
ADAR1-KO+ZBP1-KO_IFNb-0h_Z22_1,fq.gz/2213076_JCC391_F2_EV-2_S14_L002_R1_001.fastq.gz,fq.gz/2213076_JCC391_F2_EV-2_S14_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-0h_IgG_2,fq.gz/2213079_JCC391_A3_EV-5_S17_L001_R1_001.fastq.gz,fq.gz/2213079_JCC391_A3_EV-5_S17_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-0h_IgG_2,fq.gz/2213079_JCC391_A3_EV-5_S17_L002_R1_001.fastq.gz,fq.gz/2213079_JCC391_A3_EV-5_S17_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-0h_Z22_2,fq.gz/2213080_JCC391_B3_EV-6_S18_L001_R1_001.fastq.gz,fq.gz/2213080_JCC391_B3_EV-6_S18_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-0h_Z22_2,fq.gz/2213080_JCC391_B3_EV-6_S18_L002_R1_001.fastq.gz,fq.gz/2213080_JCC391_B3_EV-6_S18_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-24h_IgG_1,fq.gz/2213077_JCC391_G2_EV-3_S15_L001_R1_001.fastq.gz,fq.gz/2213077_JCC391_G2_EV-3_S15_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-24h_IgG_1,fq.gz/2213077_JCC391_G2_EV-3_S15_L002_R1_001.fastq.gz,fq.gz/2213077_JCC391_G2_EV-3_S15_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-24h_Z22_1,fq.gz/2213078_JCC391_H2_EV-4_S16_L001_R1_001.fastq.gz,fq.gz/2213078_JCC391_H2_EV-4_S16_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-24h_Z22_1,fq.gz/2213078_JCC391_H2_EV-4_S16_L002_R1_001.fastq.gz,fq.gz/2213078_JCC391_H2_EV-4_S16_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-24h_IgG_2,fq.gz/2213081_JCC391_C3_EV-7_S19_L001_R1_001.fastq.gz,fq.gz/2213081_JCC391_C3_EV-7_S19_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-24h_IgG_2,fq.gz/2213081_JCC391_C3_EV-7_S19_L002_R1_001.fastq.gz,fq.gz/2213081_JCC391_C3_EV-7_S19_L002_R2_001.fastq.gz,reverse
